time(days),prey(ind/m3),predator(ind/m3)
1.110222044408881743e+02,9.999679037159582151e+01,2.163528341327215256e-03
1.111222244448889853e+02,9.999681335012185457e+01,2.148039327954650874e-03
1.112222444488897821e+02,9.999683616412235665e+01,2.132661212272814882e-03
1.113222644528905789e+02,9.999685881477583393e+01,2.117393199974021683e-03
1.114222844568913757e+02,9.999688130325192503e+01,2.102234502700131655e-03
1.115223044608921867e+02,9.999690363071154309e+01,2.087184337973803632e-03
1.116223244648929835e+02,9.999692579830751527e+01,2.072241928754675003e-03
1.117223444688937803e+02,9.999694780718465381e+01,2.057406503439149648e-03
1.118223644728945771e+02,9.999696965847968499e+01,2.042677295860407041e-03
1.119223844768953740e+02,9.999699135332124911e+01,2.028053545288397482e-03
1.120224044808961850e+02,9.999701289282998573e+01,2.013534496429842963e-03
1.121224244848969818e+02,9.999703427811842005e+01,1.999119399428243241e-03
1.122224444888977786e+02,9.999705551029104811e+01,1.984807509863864561e-03
1.123224644928985754e+02,9.999707659044459263e+01,1.970598088528138000e-03
1.124224844968993864e+02,9.999709751966756244e+01,1.956490401750990513e-03
1.125225045009001832e+02,9.999711829904032356e+01,1.942483721333280924e-03
1.126225245049009800e+02,9.999713892963573869e+01,1.928577324135496984e-03
1.127225445089017768e+02,9.999715941251919560e+01,1.914770492077605109e-03
1.128225645129025878e+02,9.999717974874856452e+01,1.901062512139045603e-03
1.129225845169033846e+02,9.999719993937418394e+01,1.887452676358740465e-03
1.130226045209041814e+02,9.999721998543894586e+01,1.873940281835082336e-03
1.131226245249049782e+02,9.999723988797821050e+01,1.860524630725941212e-03
1.132226445289057892e+02,9.999725964801983480e+01,1.847205030248661633e-03
1.133226645329065860e+02,9.999727926658448496e+01,1.833980792469369235e-03
1.134226845369073828e+02,9.999729874468512492e+01,1.820851234610066901e-03
1.135227045409081796e+02,9.999731808332720107e+01,1.807815678982412555e-03
1.136227245449089764e+02,9.999733728350913964e+01,1.794873452606581552e-03
1.137227445489097875e+02,9.999735634622241776e+01,1.782023887211140909e-03
1.138227645529105843e+02,9.999737527245152080e+01,1.769266319233057114e-03
1.139227845569113811e+02,9.999739406317394241e+01,1.756600089817684628e-03
1.140228045609121779e+02,9.999741271936021292e+01,1.744024544818774131e-03
1.141228245649129889e+02,9.999743124197388511e+01,1.731539034798467531e-03
1.142228445689137857e+02,9.999744963197150582e+01,1.719142915027306205e-03
1.143228645729145825e+02,9.999746789030292859e+01,1.706835545287441799e-03
1.144228845769153793e+02,9.999748601791085889e+01,1.694616290160759270e-03
1.145229045809161903e+02,9.999750401573098202e+01,1.682484518964120091e-03
1.146229245849169871e+02,9.999752188469250314e+01,1.670439605396184914e-03
1.147229445889177839e+02,9.999753962571810462e+01,1.658480927537309265e-03
1.148229645929185807e+02,9.999755723972397448e+01,1.646607867849550922e-03
1.149229845969193917e+02,9.999757472761982058e+01,1.634819813176665356e-03
1.150230046009201885e+02,9.999759209030882801e+01,1.623116154744113976e-03
1.151230246049209853e+02,9.999760932868771590e+01,1.611496288159052631e-03
1.152230446089217821e+02,9.999762644364668063e+01,1.599959613410339640e-03
1.153230646129225789e+02,9.999764343606969419e+01,1.588505534684755928e-03
1.154230846169233899e+02,9.999766030683407791e+01,1.577133460637290992e-03
1.155231046209241867e+02,9.999767705681060193e+01,1.565842804327980103e-03
1.156231246249249836e+02,9.999769368686401094e+01,1.554632982894621181e-03
1.157231446289257804e+02,9.999771019785301007e+01,1.543503417552710612e-03
